Id,Id_D,Type_T,Type,Value,New,Extract,Id_D_Explanation,Explanation,Instructions
10022,HSN,INDIVIDUAL,MARRIAGE_PERMISSION,Not necessary,3,,HSN,Not necessary because bride or groom is 23 years old or older,
10023,HSN,INDIVIDUAL,MARRIAGE_PERMISSION,Oral permission,3,,HSN,Oral permission at moment of wedding (usual case),
10024,HSN,INDIVIDUAL,MARRIAGE_PERMISSION,Written permission,3,,HSN,Written permission at moment of wedding,
10025,HSN,INDIVIDUAL,MARRIAGE_PERMISSION,Notarial act,3,,HSN,Legal permission by way of notary (usually in case of parental opposition against marriage),
10026,HSN,INDIVIDUAL,MARRIAGE_PERMISSION,Other way,3,,HSN,Other way of giving permission,
10018,HSN,INDIVIDUAL,MARRIAGE_PROCLAMATION_DATE,DEFINITION,3,,HSN,Date of the marriage proclamation (at least twice at municipality of living (till six months before marriage) and muncipality of marriage,
10019,HSN,INDIVIDUAL,MARRIAGE_PROCLAMATION_LOCATION,DEFINITION,3,,HSN,Location of the marriage proclamation (at least twice at municipality of living (till six months before marriage) and muncipality of marriage,
30237,HSN,INDIV_CONTEXT,RELATION,Former spouse,3,,HSN,Only to be used in context of a marriage contract or certificate,
20152,STANDARD,INDIV_INDIV,RELATION,Legitimized child,3,,HSN,Child recognized (usually by way of a marriage),
10137,HSN,INDIVIDUAL,RECOGNITION_DATE,DEFINITION,3,,HSN,Date of recogniton as a legitimate child,
10138,HSN,INDIVIDUAL,RECOGNITION_LOCATION,DEFINITION,3,,HSN,Location of recogniton as a legitimate child,
10034,HSN,INDIVIDUAL,ALIVE,DEFINITION,3,,HSN,In case it is relevant to know if a certain person is alive or not at a certain point of time,
10035,HSN,INDIVIDUAL,ALIVE,Yes,3,,HSN,Yes person is alive at the moment of the timestamp,
10036,HSN,INDIVIDUAL,ALIVE,No,3,,HSN,No person has died before the moment of the timestamp,
40385,HSN,CONTEXT,NAME,Extract Death Certificate,3,,HSN,If someone died in another municipality than the legal one of living an extract was made up in the location were one was legally registrated.,
40854,HSN,CONTEXT_CONTEXT,RELATION,Extract Death Certificate and Municipality,3,,HSN,Source oriented contextual link,
40380,STANDARD,CONTEXT,NAME,DEFINITION,3.0 change,,STANDARD,Name of the level (=value),Standard values are introduced  for name in case of source as level.
30238,HSN,INDIV_CONTEXT,RELATION,Father as informer,3,,HSN,In birth and death certificates the father of the birth or of a relatively young deceased child usually acted as informer as well.,
70018,HSN,INDIVIDUAL,HSN_SAMPLE_STATUS,Oversampling DUM,3,,HSN,The Research Person is part of the DUM  oversampling city of Utrecht,
70019,HSN,INDIVIDUAL,HSN_SAMPLE_STATUS,Priority subsample 1863-1882,3,,HSN,"The Research Person is part of the priority subsampling 1863-1882 (part of the basic sample 1812-18820, temporary value",
20153,STANDARD,INDIV_INDIV,RELATION,Child-in-law,3,,STANDARD,,
20154,STANDARD,INDIV_INDIV,RELATION,Mother-in-law,3,,STANDARD,,
20155,STANDARD,INDIV_INDIV,RELATION,Father-in-law,3,,STANDARD,,
11059,STANDARD,INDIVIDUAL,CIVIL_STATUS,Divorced or widowed,4.2 change,,STANDARD,,Sometimes it is not clear if the lacking of a spouse is caused by a divorce or widowing
50422,STANDARD,TIMESTAMP,ESTIMATION,Interpolation,3,,STANDARD,The period is a subperiod based on interpolation in equal parts within a broader period; the number of subperiods is equal to teh number of different observations,
20181,STANDARD,INDIV_INDIV,RELATION,Master,3,,STANDARD,,
30218,STANDARD,INDIV_CONTEXT,RELATION,Boarder,3,,STANDARD,,
40800,STANDARD,CONTEXT_CONTEXT,RELATION,DEFINITION,3.01,,STANDARD,The relationship from the first context individual to the second one (the relationship is not necessarily hierarchical),
10011,STANDARD,INDIVIDUAL,STILLBIRTH_DATE,DEFINITION,4,,STANDARD,Date of the event of a stillbirth,The value and further definition will be handled by the time stamp
10012,STANDARD,INDIVIDUAL,STILLBIRTH_LOCATION,DEFINITION,4,,STANDARD,Location of the event of the stillbirth. ,It is preferable to use a reference key to the context table and to enter the lowest level of the context
40801,STANDARD,CONTEXT_CONTEXT,RELATION,Province and State,3,,STANDARD,,
40802,STANDARD,CONTEXT_CONTEXT,RELATION,County and State,3,,STANDARD,,
40804,STANDARD,CONTEXT_CONTEXT,RELATION,Municipality and Province,3,,STANDARD,,
40811,STANDARD,CONTEXT_CONTEXT,RELATION,Locality and Municipality,3,,STANDARD,,
40812,STANDARD,CONTEXT_CONTEXT,RELATION,Quarter and Municipality,3,,STANDARD,,
40814,STANDARD,CONTEXT_CONTEXT,RELATION,Address and Municipality,3,,STANDARD,,
40821,STANDARD,CONTEXT_CONTEXT,RELATION,Quarter and Locality,3,,STANDARD,,
40831,STANDARD,CONTEXT_CONTEXT,RELATION,Address and Locality,3,,STANDARD,,
40805,STANDARD,CONTEXT_CONTEXT,RELATION,Municipality and County,3,,STANDARD,,
40350,STANDARD,CONTEXT,LEVEL,DEFINITION,1,,STANDARD,Definiton of the hierarchical level of the context,
40368,STANDARD,CONTEXT,LEVEL,Address,1,,STANDARD,,
40832,STANDARD,CONTEXT_CONTEXT,RELATION,Address and Quarter,3,,STANDARD,,
40803,STANDARD,CONTEXT_CONTEXT,RELATION,Region and State,3,,STANDARD,,
40806,STANDARD,CONTEXT_CONTEXT,RELATION,Municipality and Region,3,,STANDARD,,
40367,STANDARD,CONTEXT,LEVEL,Neighborhood,1,,STANDARD,,
