Id,Id_D,Type_T,Type,Value,New,Id_D_Explanation,Explanation
,GUTMANN,INDIVIDUAL,AGE_YEARS,ANYNUMBER,,,
,GUTMANN,INDIVIDUAL,ATTENDED_SCHOOL,DEFINITION,,GUTMANN,Whether attended school during the census year (yes/no)
,GUTMANN,INDIVIDUAL,ATTENDED_SCHOOL,No,,GUTMANN,Did not attend school during the census year
,GUTMANN,INDIVIDUAL,ATTENDED_SCHOOL,Yes,,GUTMANN,Attended school during the census year
,GUTMANN,INDIVIDUAL,BAPTISM_LOCATION,ANYVALUE,,,
,GUTMANN,INDIVIDUAL,BIRTH_LOCATION,ANYVALUE,,,
,GUTMANN,INDIVIDUAL,BIRTH_LOCATION,ANYVALUE,,,
,GUTMANN,INDIVIDUAL,BIRTH_LOCATION,ANYVALUE,,,
,GUTMANN,INDIVIDUAL,BIRTH_REGION,DEFINITION,,GUTMANN,Region of birth
,GUTMANN,INDIVIDUAL,BIRTH_REGION,East or Central Europe,,GUTMANN,Individual born in a place where German or a Slavic language is spoken
,GUTMANN,INDIVIDUAL,BIRTH_REGION,Mexico,,GUTMANN,Individual born in Mexico
,GUTMANN,INDIVIDUAL,BIRTH_REGION,Other Europe,,GUTMANN,"Individual born in Europe, but not in a place where German or a Slavic language is spoken"
,GUTMANN,INDIVIDUAL,BIRTH_REGION,U.S.,,GUTMANN,Individual born in the U.S.
,ICPSR,INDIVIDUAL,BIRTH_ORDER,DEFINITION,,ICPSR Historical Demography Series,Birth order
,GUTMANN,INDIVIDUAL,CAN_READ,DEFINITION,,GUTMANN,Whether able to read (age 20+ in 1850-1860; age 10+ in 1870-1910)
,GUTMANN,INDIVIDUAL,CAN_READ,No,,GUTMANN,Not able to read
,GUTMANN,INDIVIDUAL,CAN_READ,Yes,,GUTMANN,Able to read
,GUTMANN,INDIVIDUAL,CAN_VOTE,DEFINITION,,GUTMANN,Whether a male citizen aged 21+ is able to exercise his right to vote
,GUTMANN,INDIVIDUAL,CAN_VOTE,No,,GUTMANN,Male citizen aged 21+ whose right to vote is denied or abridged on grounds other than rebelling or crime
,GUTMANN,INDIVIDUAL,CAN_VOTE,Yes,,GUTMANN,Male citizen aged 21+ whose right to vote is not denied or abridged on grounds other than rebelling or crime
,GUTMANN,INDIVIDUAL,CAN_WRITE,DEFINITION,,GUTMANN,Whether able to write (age 10+; 1870-1910 only)
,GUTMANN,INDIVIDUAL,CAN_WRITE,No,,GUTMANN,Not able to write
,GUTMANN,INDIVIDUAL,CAN_WRITE,Yes,,GUTMANN,Able to write
,KNODEL,CONTEXT,CHILDREN_ADOPTED,ANYNUMBER,,KNODEL,
,KNODEL,CONTEXT,CHILDREN_ADOPTED,DEFINITION,,KNODEL,Number of adopted children in marital union
,KNODEL,CONTEXT,CHILDREN_COMPLETENESS,DEFINITION,,KNODEL,Evaluation of completeness of reporting of children.  Numeric values are estimated number
,KNODEL,CONTEXT,CHILDREN_COMPLETENESS,Incomplete,,KNODEL,Reporting of children is probably incomplete
,KNODEL,CONTEXT,CHILDREN_COMPLETENESS,Questionable,,KNODEL,Reporting of children is may not be reliable
